iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
MEX,2028,6432454.0,532057600.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,532057600.0,True
MEX,2029,6432454.0,532057600.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,532057600.0,True
MEX,2030,6432454.0,532057600.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,532057600.0,True
CAF,2026,2440352.5,264425070.0,600066345.8081819,CAF,-335641273.8081819,False
CAF,2027,2440352.5,264425070.0,625275670.4452533,CAF,-360850598.44525325,False
CAF,2028,2440352.5,264425070.0,650484995.0823246,CAF,-386059923.0823246,False
CAF,2029,2440352.5,264425070.0,675763386.3622373,CAF,-411338314.36223733,False
CAF,2030,2440352.5,264425070.0,700972710.9993088,CAF,-436547638.9993088,False
CIV,2026,6432454.0,532057600.0,180999407.76959693,CIV,351058192.23040307,True
CIV,2027,6432454.0,532057600.0,186779625.09198105,CIV,345277974.90801895,True
CIV,2028,6432454.0,532057600.0,192559842.4143652,CIV,339497757.5856348,True
CIV,2029,6432454.0,532057600.0,198355895.94859147,CIV,333701704.0514085,True
CIV,2030,6432454.0,532057600.0,204136113.27097562,CIV,327921486.7290244,True
LBR,2026,6432454.0,532057600.0,0.0,CIV | LBR,532057600.0,True
LBR,2027,6432454.0,532057600.0,0.0,CIV | LBR,532057600.0,True
LBR,2028,6432454.0,532057600.0,0.0,CIV | LBR,532057600.0,True
LBR,2029,6432454.0,532057600.0,0.0,CIV | LBR,532057600.0,True
LBR,2030,6432454.0,532057600.0,0.0,CIV | LBR,532057600.0,True
GNB,2026,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2027,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2028,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2029,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2030,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | NGA | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2026,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,532057600.0,True
GNB,2027,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,532057600.0,True
GNB,2028,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,532057600.0,True
GNB,2029,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,532057600.0,True
