iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
LBN,2028,6432454.0,532057600.0,0.0,IRQ | TUR | EGY | JOR | LBN,532057600.0,True
UGA,2029,6432454.0,532057600.0,0.0,KEN | ETH | UGA,532057600.0,True
UGA,2028,6432454.0,532057600.0,0.0,KEN | ETH | UGA,532057600.0,True
LBN,2030,6432454.0,532057600.0,0.0,IRQ | JOR | EGY | TUR | LBN,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,IRQ | JOR | EGY | TUR | LBN,532057600.0,True
LBN,2028,6432454.0,532057600.0,0.0,IRQ | JOR | EGY | TUR | LBN,532057600.0,True
LBN,2027,6432454.0,532057600.0,0.0,IRQ | JOR | EGY | TUR | LBN,532057600.0,True
LBN,2026,6432454.0,532057600.0,0.0,IRQ | JOR | EGY | TUR | LBN,532057600.0,True
UGA,2027,6432454.0,532057600.0,0.0,KEN | ETH | UGA,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | TUR | LBN,532057600.0,True
LBN,2028,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | TUR | LBN,532057600.0,True
LBN,2027,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | TUR | LBN,532057600.0,True
LBN,2026,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | TUR | LBN,532057600.0,True
TUR,2030,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | LBN | TUR,532057600.0,True
TUR,2029,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | LBN | TUR,532057600.0,True
TUR,2028,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | LBN | TUR,532057600.0,True
TUR,2027,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | LBN | TUR,532057600.0,True
LBN,2028,6432454.0,532057600.0,0.0,JOR | IRQ | SYR | LBN,532057600.0,True
LBN,2027,6432454.0,532057600.0,0.0,JOR | IRQ | SYR | LBN,532057600.0,True
KEN,2028,6432454.0,532057600.0,0.0,UGA | ETH | KEN,532057600.0,True
KEN,2027,6432454.0,532057600.0,0.0,UGA | ETH | KEN,532057600.0,True
KEN,2026,6432454.0,532057600.0,0.0,UGA | ETH | KEN,532057600.0,True
TUR,2026,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | LBN | TUR,532057600.0,True
PAK,2030,6432454.0,532057600.0,0.0,IRN | TJK | UZB | TKM | PAK,532057600.0,True
LBN,2030,6432454.0,532057600.0,0.0,IRQ | EGY | JOR | TUR | LBN,532057600.0,True
BDI,2027,6432454.0,532057600.0,0.0,TZA | RWA | BDI,532057600.0,True
BDI,2026,6432454.0,532057600.0,0.0,TZA | RWA | BDI,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,TZA | KEN | DJI | SOM | ETH,532057600.0,True
LAO,2030,6432454.0,532057600.0,0.0,LAO,532057600.0,True
LAO,2029,6432454.0,532057600.0,0.0,LAO,532057600.0,True
LAO,2028,6432454.0,532057600.0,0.0,LAO,532057600.0,True
LAO,2027,6432454.0,532057600.0,0.0,LAO,532057600.0,True
LAO,2026,6432454.0,532057600.0,0.0,LAO,532057600.0,True
KGZ,2030,6432454.0,532057600.0,0.0,KGZ,532057600.0,True
KGZ,2029,6432454.0,532057600.0,0.0,KGZ,532057600.0,True
TUR,2026,6432454.0,532057600.0,0.0,TUR,532057600.0,True
UGA,2026,6432454.0,532057600.0,0.0,KEN | ETH | UGA,532057600.0,True
LBN,2030,6432454.0,532057600.0,0.0,JOR | TUR | LBN,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,JOR | TUR | LBN,532057600.0,True
LBN,2028,6432454.0,532057600.0,0.0,JOR | TUR | LBN,532057600.0,True
LBN,2026,6432454.0,532057600.0,0.0,JOR | IRQ | EGY | TUR | LBN,532057600.0,True
LBN,2026,6432454.0,532057600.0,0.0,JOR | TUR | LBN,532057600.0,True
LBN,2030,6432454.0,532057600.0,0.0,JOR | IRQ | SYR | LBN,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,JOR | IRQ | SYR | LBN,532057600.0,True
COG,2030,6432454.0,532057600.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,532057600.0,True
COG,2029,6432454.0,532057600.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,532057600.0,True
COG,2028,6432454.0,532057600.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,532057600.0,True
COG,2027,6432454.0,532057600.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,532057600.0,True
COG,2026,6432454.0,532057600.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,532057600.0,True
UGA,2030,6432454.0,532057600.0,0.0,TZA | RWA | UGA,532057600.0,True
UGA,2029,6432454.0,532057600.0,0.0,TZA | RWA | UGA,532057600.0,True
LBN,2026,6432454.0,532057600.0,0.0,JOR | IRQ | SYR | LBN,532057600.0,True
LBN,2030,6432454.0,532057600.0,0.0,JOR | IRQ | EGY | TUR | LBN,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,JOR | IRQ | EGY | TUR | LBN,532057600.0,True
LBN,2028,6432454.0,532057600.0,0.0,JOR | IRQ | EGY | TUR | LBN,532057600.0,True
LBN,2027,6432454.0,532057600.0,0.0,JOR | IRQ | EGY | TUR | LBN,532057600.0,True
LBN,2027,6432454.0,532057600.0,0.0,JOR | TUR | LBN,532057600.0,True
BOL,2030,6432454.0,532057600.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,532057600.0,True
BOL,2029,6432454.0,532057600.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,532057600.0,True
BOL,2028,6432454.0,532057600.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,532057600.0,True
BOL,2027,6432454.0,532057600.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,532057600.0,True
BOL,2026,6432454.0,532057600.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,532057600.0,True
MEX,2030,6432454.0,532057600.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,532057600.0,True
PSE,2030,6432454.0,532057600.0,0.0,PSE |  | ,532057600.0,True
PSE,2029,6432454.0,532057600.0,0.0,PSE |  | ,532057600.0,True
PSE,2028,6432454.0,532057600.0,0.0,PSE |  | ,532057600.0,True
PSE,2027,6432454.0,532057600.0,0.0,PSE |  | ,532057600.0,True
SLB,2026,6432454.0,532057600.0,0.0,SLB,532057600.0,True
MEX,2029,6432454.0,532057600.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,532057600.0,True
MEX,2028,6432454.0,532057600.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,532057600.0,True
